,State Name,county Name,State Code,County Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting
180457,New York,New York,36,61,2012-09-02,36,Good,Ozone,36-061-0135,1
180458,New York,New York,36,61,2012-09-03,58,Moderate,PM2.5,36-061-0134,4
180459,New York,New York,36,61,2012-09-04,21,Good,Ozone,36-061-0135,1
180460,New York,New York,36,61,2012-09-05,28,Good,Ozone,36-061-0135,1
180461,New York,New York,36,61,2012-09-06,62,Moderate,PM2.5,36-061-0134,4
180462,New York,New York,36,61,2012-09-07,46,Good,Ozone,36-061-0135,1
180463,New York,New York,36,61,2012-09-08,33,Good,Ozone,36-061-0135,1
180464,New York,New York,36,61,2012-09-09,31,Good,Ozone,36-061-0135,4
180465,New York,New York,36,61,2012-09-10,25,Good,Ozone,36-061-0135,1
180466,New York,New York,36,61,2012-09-11,30,Good,Ozone,36-061-0135,1
180467,New York,New York,36,61,2012-09-12,55,Moderate,PM2.5,36-061-0134,4
180468,New York,New York,36,61,2012-09-13,48,Good,Ozone,36-061-0135,1
180469,New York,New York,36,61,2012-09-14,39,Good,Ozone,36-061-0135,3
180470,New York,New York,36,61,2012-09-15,34,Good,PM2.5,36-061-0134,4
180471,New York,New York,36,61,2012-09-16,32,Good,Ozone,36-061-0135,3
180472,New York,New York,36,61,2012-09-17,54,Moderate,PM2.5,36-061-0134,3
180473,New York,New York,36,61,2012-09-18,36,Good,PM2.5,36-061-0128,4
180474,New York,New York,36,61,2012-09-19,27,Good,Ozone,36-061-0135,3
180475,New York,New York,36,61,2012-09-20,27,Good,PM2.5,36-061-0128,3
180476,New York,New York,36,61,2012-09-21,38,Good,PM2.5,36-061-0134,4
180477,New York,New York,36,61,2012-09-22,53,Moderate,PM2.5,36-061-0128,3
180478,New York,New York,36,61,2012-09-23,23,Good,Ozone,36-061-0135,2
180479,New York,New York,36,61,2012-09-24,68,Moderate,PM2.5,36-061-0128,4
180480,New York,New York,36,61,2012-09-25,46,Good,PM2.5,36-061-0134,2
180481,New York,New York,36,61,2012-09-26,56,Moderate,PM2.5,36-061-0134,2
180482,New York,New York,36,61,2012-09-27,66,Moderate,PM2.5,36-061-0134,4
180483,New York,New York,36,61,2012-09-28,48,Good,PM2.5,36-061-0134,2
180484,New York,New York,36,61,2012-09-29,14,Good,PM2.5,36-061-0134,2
180485,New York,New York,36,61,2012-09-30,44,Good,PM2.5,36-061-0134,4
180486,New York,New York,36,61,2012-10-01,36,Good,PM2.5,36-061-0134,3
180487,New York,New York,36,61,2012-10-02,61,Moderate,PM2.5,36-061-0128,3
180488,New York,New York,36,61,2012-10-03,82,Moderate,PM2.5,36-061-0134,4
180489,New York,New York,36,61,2012-10-04,69,Moderate,PM2.5,36-061-0128,3
180490,New York,New York,36,61,2012-10-05,64,Moderate,PM2.5,36-061-0128,3
180491,New York,New York,36,61,2012-10-06,60,Moderate,PM2.5,36-061-0134,4
180492,New York,New York,36,61,2012-10-07,28,Good,PM2.5,36-061-0134,3
180493,New York,New York,36,61,2012-10-08,36,Good,PM2.5,36-061-0128,3
180494,New York,New York,36,61,2012-10-09,42,Good,PM2.5,36-061-0128,4
180495,New York,New York,36,61,2012-10-10,27,Good,PM2.5,36-061-0134,3
180496,New York,New York,36,61,2012-10-11,28,Good,PM2.5,36-061-0128,3
180497,New York,New York,36,61,2012-10-12,44,Good,PM2.5,36-061-0128,4
180498,New York,New York,36,61,2012-10-13,24,Good,PM2.5,36-061-0128,3
180499,New York,New York,36,61,2012-10-14,41,Good,PM2.5,36-061-0128,3
180500,New York,New York,36,61,2012-10-15,51,Moderate,PM2.5,36-061-0134,4
180501,New York,New York,36,61,2012-10-16,27,Good,PM2.5,36-061-0128,3
180502,New York,New York,36,61,2012-10-17,55,Moderate,PM2.5,36-061-0128,3
180503,New York,New York,36,61,2012-10-18,52,Moderate,PM2.5,36-061-0135,4
180504,New York,New York,36,61,2012-10-19,43,Good,PM2.5,36-061-0128,3
180505,New York,New York,36,61,2012-10-20,52,Moderate,PM2.5,36-061-0128,3
180506,New York,New York,36,61,2012-10-21,49,Good,PM2.5,36-061-0128,4
180507,New York,New York,36,61,2012-10-22,53,Moderate,PM2.5,36-061-0128,2
180508,New York,New York,36,61,2012-10-23,69,Moderate,PM2.5,36-061-0128,2
180509,New York,New York,36,61,2012-10-24,60,Moderate,PM2.5,36-061-0134,4
180510,New York,New York,36,61,2012-10-25,41,Good,PM2.5,36-061-0134,2
180511,New York,New York,36,61,2012-10-26,47,Good,PM2.5,36-061-0134,3
180512,New York,New York,36,61,2012-10-27,53,Moderate,PM2.5,36-061-0128,4
180513,New York,New York,36,61,2012-10-28,25,Good,Ozone,36-061-0135,3
180514,New York,New York,36,61,2012-10-29,27,Good,Ozone,36-061-0135,1
